symbol,market_cap,pe_ratio,dividend_yield,enterprise_value,enterprise_to_revenue,enterprise_to_ebitda,52_week_high,52_week_low,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_growth,gross_profit,ebitda,net_income_to_common,trailing_eps,forward_eps,peg_ratio,price_to_sales,price_to_book,forward_pe,beta,book_value,shares_outstanding,float_shares,shares_short,short_ratio,short_percent_of_float,held_by_insiders,held_by_institutions,short_percent_of_shares_outstanding,shares_short_prior_month,forward_annual_dividend_rate,forward_annual_dividend_yield,payout_ratio,dividend_growth,five_year_avg_dividend_yield,beta3_year,total_cash,total_cash_per_share,total_debt,total_debt_to_equity,current_ratio,quick_ratio,operating_cash_flow,levered_free_cash_flow
MCD,184645926912.0,21.786564,0.026099999,234752851968.0,9.111,16.999,302.39,245.73,0.33363,0.44205,0.13991,,25764700160.0,35.507,,,13809500160.0,8595800064.0,11.76,13.27,3.2,7.1666245,,19.307459,0.714,-6.706,720681984.0,718296200.0,7884193.0,2.2,0.011,0.0017200001,0.72428,,8492722.0,6.68,0.026099999,0.5421,,2.24,,838000000.0,1.163,50944999424.0,,0.83,0.63,9581899776.0,
MDT,110244356096.0,30.460144,0.033299997,127469150208.0,3.939,13.997,91.0,68.84,0.113579996,0.21679,0.04463,0.072569996,32363999232.0,24.376,,,9107000320.0,3676000000.0,2.76,5.82,3.44,3.4063885,2.1954978,14.445017,0.841,38.292,1311340032.0,1309173824.0,15331635.0,2.78,0.0117,0.0011100001,0.86859,,12394416.0,2.8,0.033299997,1.0,,2.54,,8005000192.0,6.104,25024000000.0,49.631,2.033,1.31,6786999808.0,
HON,135954612224.0,24.220417,0.0207,150901506048.0,4.089,16.915,210.97,174.88,0.15519,0.22262,0.07704,0.33198002,36902998016.0,55.988,,,8920999936.0,5727000064.0,8.62,11.08,2.25,3.6841075,8.262625,18.84296,1.027,25.268,651185984.0,618717403.0,6461598.0,2.26,0.0099,0.00092,0.79678,,6926188.0,4.32,0.0207,0.48900002,,2.0,,12005000192.0,18.436,26353999872.0,154.551,1.664,1.193,6572000256.0,
AMGN,163623403520.0,43.69914,0.0295,217935314944.0,7.38,18.694,329.72,215.32,0.12742,0.13334,0.04876,0.72574997,29532000256.0,55.148,,,11658000384.0,3763000064.0,6.98,20.44,2.87,5.540546,32.580643,14.9227,0.601,9.362,536435008.0,534879031.0,10248044.0,3.61,0.0191,0.00248,0.8098,,10110322.0,9.0,0.0295,1.2343,,2.97,,9708000256.0,18.097,64020000768.0,1274.791,1.422,0.836,8096000000.0,
BA,116785299456.0,,,157189341184.0,2.056,58.762,267.54,159.7,-0.02814,0.0041,0.0038299998,,76442001408.0,125.629,,,2675000064.0,-2151000064.0,-3.54,5.36,-0.64,1.5277635,,35.49254,1.555,-27.73,613884032.0,580402978.0,10810446.0,1.48,0.0176,0.00074,0.64288,,9696127.0,,,,,2.48,,7528999936.0,12.265,47940001792.0,,1.142,0.217,2916000000.0,
SBUX,92235767808.0,22.432507,0.027999999,114325757952.0,3.13,16.065,107.66,71.8,0.11382,0.12039,0.120570004,,36530098176.0,32.048,,,7116299776.0,4157700096.0,3.63,4.08,2.78,2.5249252,,19.958334,0.96,-7.46,1132700032.0,1108097756.0,19471451.0,1.28,0.0172,0.02039,0.76065004,,17787463.0,2.28,0.027999999,0.6061,,1.97,,3126599936.0,2.76,25209399296.0,,0.859,0.563,6537800192.0,
CAT,160869089280.0,14.857272,0.015800001,194437431296.0,2.902,12.204,382.01,223.76,0.16789,0.2216,0.10358,0.62789,66996998144.0,132.661,,,15932000256.0,11248000000.0,22.14,22.8,2.18,2.4011388,9.124296,14.427194,1.133,36.051,489052992.0,487721925.0,11250779.0,4.29,0.023,0.00202,0.72933,,12781140.0,5.2,0.015800001,0.2305,,2.28,,4362999808.0,8.917,37852999680.0,214.525,1.349,0.751,13363999744.0,
IBM,156171698176.0,19.27551,0.039300002,199999635456.0,3.222,13.908,199.18,129.18,0.13179,0.102139995,0.045819998,0.36240003,62068998144.0,67.937,,,14380000256.0,8154999808.0,8.82,10.44,5.29,2.5160983,6.7139244,16.284483,0.718,25.322,918603008.0,916609298.0,20179434.0,4.27,0.022,0.00114,0.6149,,22452416.0,6.68,0.039300002,0.7528,,4.82,,19114999808.0,20.809,62870999040.0,269.451,1.132,0.965,14325000192.0,
MMM,55811993600.0,,0.0278,67164016640.0,2.057,8.245,106.04,71.36288,-0.21569,0.21704,0.07582,-0.69286,32653000704.0,58.89,,,8145999872.0,-7042999808.0,-12.73,7.79,-2.62,1.7092454,11.469184,12.947369,1.012,8.794,553361024.0,552592085.0,9278900.0,1.93,0.0168,0.0010800001,0.66828,,8177324.0,2.8,0.0278,0.6167,,4.32,,10970999808.0,19.826,22256001024.0,451.166,1.643,1.195,6172000256.0,
GE,177239261184.0,42.498688,0.0069,180635713536.0,2.598,21.294,170.8,81.915405,0.05052,0.09612001,0.02431,0.13635,69520998400.0,63.81,,,8482999808.0,4192000000.0,3.81,5.05,1.43,2.549435,5.936572,32.063366,1.238,27.275,1094610048.0,1089516755.0,11116028.0,1.64,0.010199999,0.00224,0.77098,,10930473.0,1.12,0.0069,0.063200004,,0.44,,20284000256.0,18.531,22432999424.0,72.125,1.166,0.715,6430000128.0,
RTX,143733325824.0,42.562992,0.0233,184020434944.0,2.591,19.69,108.65,68.56,0.048979998,0.09536,0.01985,0.05335,71011000320.0,50.984,,,9345999872.0,3478000128.0,2.54,6.07,1.76,2.0240993,2.3761485,17.810543,0.556,45.498,1329510016.0,1208717068.0,33244746.0,4.96,0.025,0.00087,0.84053004,,36946503.0,2.52,0.0233,0.92910004,,2.61,,5607000064.0,4.218,44253999104.0,71.22,1.067,0.644,9088000000.0,
GS,146691653632.0,17.72837,0.0242,-161483997184.0,-3.456,,471.48,289.36,0.20146999,0.38417,0.00582,0.07944,46726000640.0,138.222,,,,8700999680.0,25.66,41.01,0.53,3.139401,1.4465743,11.092661,1.382,314.474,322463008.0,337731160.0,6179666.0,2.36,0.019299999,0.00527,0.75141996,,5024679.0,11.0,0.0242,0.41889998,,2.26,,1050186022912.0,3090.689,722595020800.0,607.856,1.548,1.432,-50028998656.0,
USB,60889149440.0,12.963455,0.0502,63224143872.0,2.513,,45.85,30.47,0.20075001,0.32192,0.0074400003,0.0928,25155999744.0,16.232,,,,4668000256.0,3.01,4.29,7.26,2.4204624,1.2487199,9.0955715,1.063,31.248,1560460032.0,1555201163.0,19708737.0,2.6,0.0126,0.0012800001,0.80314004,,18844416.0,1.96,0.0502,0.64449996,,3.95,,79658000384.0,51.048,74720002048.0,,,,10266000384.0,
BLK,114227331072.0,19.529726,0.026500002,118274318336.0,6.448,16.765,845.0,596.18,0.32261002,0.36421,0.03374,0.15170999,18343999488.0,123.095,,,7055000064.0,5918000128.0,39.36,46.73,1.49,6.2269588,2.878536,16.449604,1.349,267.042,148600000.0,139132676.0,1697481.0,2.81,0.0115,0.00942,0.8833,,1691027.0,20.4,0.026500002,0.5108,,2.5,,9605000192.0,64.637,11632000000.0,27.864,2.752,2.082,4151000064.0,
BK,45100785664.0,15.115289,0.0279,-55322226688.0,-3.162,,60.67,39.66,0.19028,0.30556,0.00775,0.08173,17494999040.0,22.648,,,,3092999936.0,3.99,6.08,1.01,2.5779245,1.244994,9.919408,1.074,48.442,747816000.0,745572387.0,8775958.0,2.53,0.0117,0.0015199999,0.86010003,,6663044.0,1.68,0.0279,0.4085,,2.96,,173901004800.0,232.545,68941996032.0,,,,1440000000.0,
SCHW,135156604928.0,30.933054,0.0135,143739977728.0,7.786,,79.49,48.66,0.26142,0.38629,0.00961,0.12255,18460999680.0,10.134,,,,4367000064.0,2.39,4.32,1.55,7.3211966,4.065662,17.113426,0.954,18.184,1777280000.0,1495922475.0,14376589.0,1.95,0.0086,0.06263,0.85515,,14610791.0,1.0,0.0135,0.4184,,1.38,,61653999616.0,33.724,61046001664.0,143.936,0.435,0.435,8461000192.0,
C,117841641472.0,18.011662,0.0343,-226779381760.0,-3.256,,64.98,38.17,0.11477,0.26900998,0.00333,0.03909,69645000704.0,36.239,,,,6602999808.0,3.43,7.21,1.07,1.692033,0.6235491,8.568654,1.467,99.078,1907440000.0,1846191727.0,28421884.0,2.23,0.0149,0.030739998,0.71629995,,25959581.0,2.12,0.0343,0.6122,,3.7,,1029324013568.0,539.636,666290028544.0,,,,-53761998848.0,
MS,157868032000.0,17.661818,0.035,-142653702144.0,-2.619,,103.25,69.42,0.17476,0.34685,0.00796,0.09559,54470000640.0,33.686,,,,8960000000.0,5.5,7.59,1.76,2.8982565,1.7469966,12.798419,1.369,55.604,1625159936.0,1243330705.0,15603686.0,2.31,0.0125,0.23306999,0.61019003,,15927402.0,3.4,0.035,0.6045,,2.96,,727047012352.0,447.369,416833011712.0,416.25,1.967,1.942,-19310999552.0,
WFC,203461640192.0,12.158333,0.024,130395365376.0,1.68,,62.55,38.39,0.24188,0.2804,0.00976,0.10261,77600997376.0,21.366,,,,17582000128.0,4.8,5.54,1.43,2.6218946,1.258871,10.534296,1.171,46.359,3486320128.0,3478506012.0,38130739.0,2.0,0.011,0.00077,0.78099,,32497656.0,1.4,0.024,0.28129998,,3.18,,411367014400.0,117.995,317961994240.0,,,,20827000832.0,
AXP,167360217088.0,19.149796,0.012,164331241472.0,2.888,,244.41,140.91,0.15809,0.21673,0.03562,0.32854998,56897998848.0,77.996,,,,8869000192.0,12.15,14.92,1.17,2.9414077,5.8158774,15.594503,1.222,40.006,719302976.0,566033958.0,8591448.0,2.5,0.0152,0.21187,0.6475,,6380655.0,2.8,0.012,0.2059,,1.3,,53775998976.0,74.761,50746998784.0,176.425,1.621,1.618,24487999488.0,
SPGI,134152740864.0,48.06502,0.0085,148863746048.0,11.605,24.761,461.16,340.49,0.21999,0.41849998,0.04968,0.07949,12828000256.0,40.534,,,6012000256.0,2822000128.0,8.92,16.03,2.26,10.457807,3.9105766,26.7461,1.152,109.636,312900000.0,312155298.0,2216185.0,1.54,0.0070999996,0.00195,0.89567,,1642555.0,3.64,0.0085,0.4047,,0.84,,1543000064.0,4.931,12332000256.0,32.241,0.924,0.769,4064000000.0,
ADP,103272308736.0,28.160715,0.0222,103375790080.0,5.466,18.839,256.84,205.53,0.19561,0.29561,0.04958,0.88922995,18911899648.0,45.972,,,5487200256.0,3699399936.0,8.96,9.98,2.59,5.4607053,22.348982,25.282566,0.791,11.29,409291008.0,408444099.0,4142715.0,2.98,0.0101,0.00117,0.83408,,4395224.0,5.6,0.0222,0.59220004,,2.0,,3291699968.0,8.042,3395099904.0,73.381,1.013,0.123,4042700032.0,
MSCI,38953746432.0,33.562458,0.012999999,43104747520.0,16.473,28.47,617.39,439.95,0.44554,0.50133,0.16758,,2616666880.0,33.018,,,1514051968.0,1165817984.0,14.65,16.63,2.62,14.886781,,29.566448,1.108,-8.211,79224200.0,76597126.0,935426.0,0.93,0.0138,0.03183,0.9267,,1085499.0,6.4,0.012999999,0.39209998,,0.87,,515472992.0,6.507,4666475008.0,,0.997,0.921,1272024960.0,
