symbol,market_cap,pe_ratio,dividend_yield,enterprise_value,enterprise_to_revenue,enterprise_to_ebitda,52_week_high,52_week_low,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_growth,gross_profit,ebitda,net_income_to_common,trailing_eps,forward_eps,peg_ratio,price_to_sales,price_to_book,forward_pe,beta,book_value,shares_outstanding,float_shares,shares_short,short_ratio,short_percent_of_float,held_by_insiders,held_by_institutions,short_percent_of_shares_outstanding,shares_short_prior_month,forward_annual_dividend_rate,forward_annual_dividend_yield,payout_ratio,dividend_growth,five_year_avg_dividend_yield,beta3_year,total_cash,total_cash_per_share,total_debt,total_debt_to_equity,current_ratio,quick_ratio,operating_cash_flow,levered_free_cash_flow
AAPL,3.947612778848981,-0.09964687398630077,-1.3344403840906067,4.004753721827247,0.5092694034435776,0.25151543022917694,-0.1239193279610345,-0.1164599874715094,0.6236958970724354,0.3360105523064742,1.9757596008974863,0.5398307671533121,2.247610207021827,-0.11993556396971529,,,3.4192575164337042,4.254053079848842,-0.1855844384636038,-0.46032306912677134,0.1960951687282519,0.5045684058109847,1.1712529732601673,0.9218128473067605,0.5915895647992839,-0.11944375419487886,4.933337414110689,4.86535579225022,1.8578913113546793,-0.9137889491199598,-1.0676030279781232,0.1753927635936554,-1.401129366046097,,1.8180835846578,-0.7654283369568261,-1.3344403840906067,-0.68663438512398,,-1.2816256242281256,,-0.12604873094324023,-0.1241706941087009,0.07676953234473786,-0.14626042913040055,-0.49365314960883333,-0.22088689668005415,3.2550821449328473,
MSFT,4.146612986318681,-0.024543615077719506,-1.1954584590245698,4.184309559656248,1.4336891133509986,0.3759578565410728,-0.09530214718813865,-0.06380278840951722,1.3898507509920197,1.2787901404871678,1.0723650681477295,-0.08892450551970504,1.0945626812042095,-0.11969137484893297,,,3.299748670840829,3.5522965589633566,0.4588440721308771,0.13206380478750185,0.06311108878610408,1.4983610045910574,0.011286986111251793,1.4448608868734916,-0.43941037916985165,-0.11881555361323852,1.9568826995902473,1.9464141024111639,0.40649224954716257,-0.361122590644719,-1.1482613743024523,-0.4392512318038635,-0.03064190755547689,,0.688519449509828,-0.23549446144749345,-1.1954584590245698,-0.5385011066949884,,-1.1231668185631096,,-0.07981155256022253,-0.12375562617423051,0.08637423155133954,-0.3746861019920499,-0.23752324467394864,0.171740854867116,3.2396367480415322,
GOOGL,2.6496573721767156,-0.14595564914312933,-1.3691858462471005,2.5358629544616518,0.2561930826400506,-0.10307694241965247,-0.12646941010102458,-0.13411139636117633,0.5931132814483506,0.4567435134943029,1.09920662641994,-0.1393581095396904,1.74297341311348,-0.11990755433642836,,,2.76695688998531,3.365842860698353,-0.17545589605740383,-0.32595717222899745,-0.1690475592484931,0.30075612468917834,-0.19678168061492918,0.14629772322868184,-0.10151964123038704,-0.11903924298225285,1.3698968785638252,3.281860649359293,0.6974653876107823,-0.6417070495629181,-0.6777542487732297,-0.41557446838472567,0.5874160485598952,,0.7480515565616088,-0.8184217245077593,-1.3691858462471005,,,,,0.021113669952744284,-0.12388683365187192,-0.3698524491938507,-0.44914680337343477,0.8956954078916141,1.470315130412232,3.1329933149059697,
JNJ,-0.09933872610624112,-0.20586342359345852,0.6530012645730923,-0.033708641826247374,-0.13750015545417502,-0.6451706942483393,-0.12681186717498008,-0.12404868060178895,2.032994452119,0.25198109227271354,0.06906015515465302,-0.1713213615020241,-0.10536530879014913,-0.11960292865923478,,,0.1745980361773925,0.13888906372065463,-0.14760240444035347,-0.09743707020577616,0.16003168942190668,-0.1902762899318308,-0.29202809453229417,-0.6158895960413222,-1.487738053289729,-0.1189222709633382,0.06382317657878375,0.0886909527773456,-0.281934986447245,-0.42914306553397946,-0.9735015275911428,-0.4356818708885644,-0.20713245372168249,,-0.29652220962087333,0.2838407365516526,0.6530012645730923,0.15253686240946754,,0.14450362675701736,,-0.27318237698133263,-0.12374730791908535,-0.3390517443610924,-0.3606836232425185,-0.32748106494376183,-0.2667189299345877,0.1880510843915115,
PFE,-0.39091981256819314,,2.3972245113630177,-0.2452652973256921,-0.17282503637550356,0.1988139865279334,-0.1433965740422537,-0.1667663216926656,-1.4102751405600544,0.3964793120361497,-0.8905933347896772,-0.31293900608552644,-0.3498966600965301,-0.12043150514691059,,,-0.5132896723156889,-0.7185499285774894,-1.0072624411665865,-0.9006901326822492,-5.650696413812961,-0.4077150480660425,-0.42749031791354974,-0.9501431859445517,-1.1671750455010061,-0.1191976636415769,1.29176958639339,1.2938706496100323,1.098158536174572,-0.8542710335918569,-0.27446244993628466,-0.4399651043200637,-0.4686283499012723,,0.9794159619546862,-0.585250819283653,2.3972245113630177,5.754681339930823,,1.1312698256709797,,-0.32454543637992345,-0.12431847311026431,-0.12650576318716275,-0.2972583240458442,-0.4811590079046926,-0.5340724572526997,-0.32491098216675945,
JPM,0.2350517421629483,-0.32435386626039425,-0.0905520717078721,-0.8478376461995554,-1.0644796393414027,,-0.12315369178854826,-0.12692477718672543,1.1732745837824683,1.321689973171572,-0.8424683186955626,-0.22042534834147084,0.4062353746645994,-0.11903969074065351,,,,1.691614356493197,1.0982083115222578,0.456699657876284,1.7873961931207327,-0.24636349486753192,-0.4226948538793002,-0.7720835131565189,0.18727586128197615,-0.11725140489422113,0.23897608476834953,0.25666214940594356,-0.20919264298390075,-0.31010723447777366,-0.9869446816537941,-0.3917787257766324,-0.040021058536642944,,-0.2141623834408637,0.1884526389599726,-0.0905520717078721,-0.5254172687152986,,0.23813837555907214,,5.479832357031434,-0.08764309121610088,4.390163602129331,,,,-1.6771187651562416,
BAC,-0.1644508899072131,-0.3042354064415826,-0.014112009099548661,-0.2218975478351941,-0.42641331197499177,,-0.1434185891398651,-0.16685325660203396,0.6616970679716689,0.2610376305536266,-0.9117412291859642,-0.26099076335053406,-0.04406354307617735,-0.12036635012180942,,,,0.44906863230597194,-0.633772439937958,-0.817324430227426,-0.12171424265891505,-0.33751765518495136,-0.45108597856609345,-0.8785162069999153,0.9208164376633781,-0.11882314249812675,2.103057612153752,2.0839865046046144,1.0809944171176928,-0.6587121682852333,-0.5567668435527456,1.1359079496629518,-1.1914722389819914,,0.8986499514043298,-0.7760270144670128,-0.014112009099548661,-0.42375422686961495,,-0.04996854383186578,,2.6187133370050457,-0.1175519624678777,3.724367982672703,,,,0.80418125475885,
KO,-0.21877038664905518,-0.15919783888163042,0.4236810767481219,-0.1201693885905604,0.2672854365525451,0.03393157957245338,-0.14046245075504207,-0.157221593101598,0.40416722056291793,0.48731830174773494,0.1501270836737531,-0.08414360803544108,-0.4199751539374106,-0.12039968058149136,,,-0.34833034093678084,-0.1716856127523137,-0.6856812197697335,-0.8732284895206603,0.41698397947961613,0.1486032259665403,-0.0719410831368639,0.24912448934420203,-1.3057968867069405,-0.11941584945667795,0.7799992466447302,0.6335934890110735,0.09677114868642002,-0.12305092853230783,-0.9331723880366283,0.7384000693947548,-0.9205123569934888,,-0.12137148748954622,-0.5163594154674398,0.4236810767481219,0.2152491234296599,,0.38939450823931454,,-0.30660844534222537,-0.12420006794718227,-0.27965958161376386,-0.11016407387641836,-0.4911543212680052,-0.41796463967454817,-0.2059464725933255,
PEP,-0.2797788073157103,-0.15807669924881915,0.5140193325579586,-0.16644308084185552,-0.35081465377137583,-0.2761082720283594,-0.12480482410940515,-0.1194483749810467,-0.6109636594345396,-0.6697569811082056,0.1719527951981262,-0.016881426857345724,-0.055861191248904624,-0.1185210607565663,,,-0.2916726543819871,-0.2507122479871657,-0.16026308244810367,-0.30241862094763555,0.23215864803459713,-0.47964361594992294,0.007294302893582221,0.04163880176903837,-1.4848500982646053,-0.11924994740375305,-0.3248702609066581,-0.29283176663411575,-0.31139719861206233,0.5826614984437688,-0.34167774974244197,-0.42759131959159985,0.23938010196547543,,-0.3187097911063073,0.40572552791879907,0.5140193325579586,0.23479964824433766,,0.1805169916808848,,-0.3374104636010248,-0.12406054221439568,-0.26734751350278674,0.07996646926291744,-0.7147994577721238,-0.5829599593908688,-0.1769512705076091,
XOM,0.13118589919222723,-0.3030196783520543,0.6530012645730923,0.11329609403874585,-0.6236865600187389,-1.0272561610823547,-0.13319869160425019,-0.14120383605047815,-0.6272390613136934,-0.8565424482662286,0.044794301969169885,-0.21749437136988825,1.8797516802334968,-0.11796923417006491,,,1.3895430251440106,0.9157208880792497,0.03217922326969819,-0.21120673473235843,-0.009015869826586354,-0.6729504893176749,-0.4106235063023687,-0.8294341870227985,-0.3989790088181208,-0.11842867097174097,0.8470372412580178,0.6561538154300114,0.25628340034504826,-0.5566814559513428,-0.7987417884243131,-0.4405599980042448,-1.4975597079369072,,1.9324718233259524,-0.023520911243760424,0.6530012645730923,-0.22554137309356306,,1.9163611810112862,,-0.24765362126780419,-0.12390613460326345,-0.29915615176255317,-0.4277104827173307,-0.06260526081597878,0.008273269592613201,1.258731742443636,
